Title,PubmedID,Authors,Company Affiliations,Corresponding Author Email
Persistent Postirradiation Skeletal Muscle Protein and Insulin Sensitivity Changes in Nonhuman Primates.,40053841,"Jingyun Lee, Xiaofei Chen, Katherine M Fanning, Catherine Si, Ashley T Davis, David H Wasserman, Deanna Bracy, Cristina M Furdui, Kylie Kavanagh",N/A,N/A
Prevalence of asymptomatic atrial fibrillation and risk factors associated with asymptomatic status: a systematic review and meta-analysis.,40053837,"Konstantinos Pamporis, Paschalis Karakasis, Marios Sagris, Panagiotis Theofilis, Nikias Milaras, Antonia Pantelidaki, Iordanis Mourouzis, Nikolaos Fragakis, Konstantinos Vlachos, Athanasios Kordalis, Dimitrios Tsiachris","Department of Pharmacology, Medical School, National and Kapodistrian University of Athens, Athens, Greece., Department of Pharmacology, Medical School, National and Kapodistrian University of Athens, Athens, Greece.",N/A
Antibiotic Use In Utero and Early Life and Risk of Chronic Childhood Conditions in New Zealand: Protocol for a Data Linkage Retrospective Cohort Study.,40053783,"Sharan Ram, Marine Corbin, Andrea 't Mannetje, Amanda Eng, Amanda Kvalsvig, Michael G Baker, Jeroen Douwes",N/A,N/A
Effectiveness of Digital Diabetes Management Technology on Blood Glucose in Patients With Type 2 Diabetes at Home: Systematic Review and Meta-Analysis.,40053775,"Yuping Xiao, Zhenzhen Wang, Lintao Zhang, Nina Xie, Fangyao Chen, Zihao Song, Sha Zhao",N/A,N/A
"Correction: Glycemic Control, Renal Progression, and Use of Telemedicine Phone Consultations Among Japanese Patients With Type 2 Diabetes Mellitus During the COVID-19 Pandemic: Retrospective Cohort Study.",40053736,"Akiko Sankoda, Yugo Nagae, Kayo Waki, Wei Thing Sze, Koji Oba, Makiko Mieno, Masaomi Nangaku, Toshimasa Yamauchi, Kazuhiko Ohe",N/A,N/A
The Application of Preventive Medicine in the Future Digital Health Era.,40053712,"Katherine De la Torre, Sukhong Min, Hyobin Lee, Daehee Kang",N/A,N/A
SGLT2 Inhibitors in CKD: Are They Really Effective in All Patients?,40053507,Paola Romagnani,N/A,N/A
COVID-19-associated invasive fungal infections in intensive care unit patients during the first pandemic waves in Argentina: Results of a single center experience.,40053501,"Gladys Beatriz Posse, Fernanda Mariel Barberis, María Fernanda Benedetti, Daniel Pezzola, Katherine Hermida Alava, Carolina Rodríguez Laboccetta, Agustín Videla Garrido, Víctor Fernández Briceño, Paula Capece, Alejandro Nusblat, María Luján Cuestas",N/A,N/A
Assessing Autonomic Dysfunction in Diabetes: A Hospital-based Study in a Developing Country.,40053435,"Khalid A Dafalla, Azza O Alawad, Tarig Hakim Merghani, Fathelrahman M Ahmed, Ahmed Alsiddig Ebraheem",N/A,N/A
Echocardiographic Assessment of Structure and Function of Left Ventricle in Chronic Kidney Disease Along with its Determinants in a Tertiary Healthcare Center in Tribal Region of Jharkhand.,40053432,"Anchal Kujur, Siddharth Kapoor, Usha Saroj, Abhay Kumar, Stuti Srishti, Sujeet Anand, Gregory Minj, Ajit Dungdung, Shishir Kumar Mahato",N/A,N/A
